2023-02-18 15:03:08,0.06521739130434782
2023-02-18 15:03:09,0.06521739130434782
2023-02-18 15:03:10,0.06521739130434782
2023-02-18 15:03:11,0.06521739130434782
2023-02-18 15:03:12,0.059782608695652176
2023-02-18 15:03:13,0.059782608695652176
2023-02-18 15:03:14,0.059782608695652176
2023-02-18 15:03:15,0.059782608695652176
2023-02-18 15:03:16,0.05434782608695652
2023-02-18 15:03:17,0.05434782608695652
2023-02-18 15:03:18,0.04891304347826087
2023-02-18 15:03:19,0.04891304347826087
2023-02-18 15:03:20,0.04891304347826087
2023-02-18 15:03:21,0.04891304347826087
2023-02-18 15:03:22,0.04891304347826087
2023-02-18 15:03:23,0.04891304347826087
2023-02-18 15:03:24,0.043478260869565216
2023-02-18 15:03:25,0.043478260869565216
2023-02-18 15:03:26,0.043478260869565216
2023-02-18 15:03:27,0.043478260869565216
2023-02-18 15:03:28,0.04891304347826087
2023-02-18 15:03:29,0.04891304347826087
2023-02-18 15:03:30,0.04891304347826087
2023-02-18 15:03:31,0.04891304347826087
2023-02-18 15:03:32,0.04891304347826087
2023-02-18 15:03:33,0.04891304347826087
2023-02-18 15:03:34,0.05434782608695652
2023-02-18 15:03:35,0.059782608695652176
2023-02-18 15:03:36,0.059782608695652176
2023-02-18 15:03:37,0.06521739130434782
2023-02-18 15:03:38,0.07065217391304347
2023-02-18 15:03:39,0.07065217391304347
2023-02-18 15:03:40,0.07065217391304347
2023-02-18 15:03:41,0.07608695652173914
2023-02-18 15:03:42,0.08152173913043478
2023-02-18 15:03:43,0.08695652173913043
2023-02-18 15:03:44,0.09239130434782608
2023-02-18 15:03:45,0.09239130434782608
2023-02-18 15:03:46,0.09782608695652174
2023-02-18 15:03:47,0.09782608695652174
2023-02-18 15:03:48,0.10326086956521739
2023-02-18 15:03:49,0.10326086956521739
2023-02-18 15:03:50,0.10326086956521739
2023-02-18 15:03:51,0.10326086956521739
2023-02-18 15:03:52,0.10326086956521739
2023-02-18 15:03:53,0.10869565217391304
2023-02-18 15:03:54,0.10869565217391304
2023-02-18 15:03:55,0.10869565217391304
2023-02-18 15:03:56,0.10326086956521739
2023-02-18 15:03:57,0.10326086956521739
2023-02-18 15:03:58,0.09782608695652174
2023-02-18 15:03:59,0.09782608695652174
2023-02-18 15:04:00,0.09239130434782608
2023-02-18 15:04:01,0.09239130434782608
2023-02-18 15:04:02,0.08695652173913043
2023-02-18 15:04:03,0.08695652173913043
2023-02-18 15:04:04,0.08152173913043478
2023-02-18 15:04:05,0.08152173913043478
2023-02-18 15:04:06,0.07608695652173914
2023-02-18 15:04:07,0.07608695652173914
2023-02-18 15:04:08,0.07065217391304347
2023-02-18 15:04:09,0.07065217391304347
2023-02-18 15:04:10,0.07065217391304347
2023-02-18 15:04:11,0.07065217391304347
2023-02-18 15:04:12,0.07065217391304347
2023-02-18 15:04:13,0.07065217391304347
2023-02-18 15:04:14,0.07065217391304347
2023-02-18 15:04:15,0.07065217391304347
2023-02-18 15:04:16,0.07065217391304347
2023-02-18 15:04:17,0.07065217391304347
2023-02-18 15:04:18,0.07065217391304347
2023-02-18 15:04:19,0.07065217391304347
2023-02-18 15:04:20,0.07608695652173914
2023-02-18 15:04:21,0.07065217391304347
2023-02-18 15:04:22,0.07065217391304347
2023-02-18 15:04:23,0.07065217391304347
2023-02-18 15:04:24,0.07065217391304347
2023-02-18 15:04:25,0.07065217391304347
2023-02-18 15:04:26,0.07065217391304347
2023-02-18 15:04:27,0.06521739130434782
2023-02-18 15:04:28,0.059782608695652176
2023-02-18 15:04:29,0.059782608695652176
2023-02-18 15:04:30,0.059782608695652176
2023-02-18 15:04:31,0.059782608695652176
2023-02-18 15:04:32,0.059782608695652176
2023-02-18 15:04:33,0.059782608695652176
2023-02-18 15:04:34,0.059782608695652176
2023-02-18 15:04:35,0.059782608695652176
2023-02-18 15:04:36,0.059782608695652176
2023-02-18 15:04:37,0.05434782608695652
2023-02-18 15:04:38,0.059782608695652176
2023-02-18 15:04:39,0.059782608695652176
2023-02-18 15:04:40,0.06521739130434782
2023-02-18 15:04:41,0.07065217391304347
2023-02-18 15:04:42,0.07065217391304347
2023-02-18 15:04:43,0.07065217391304347
2023-02-18 15:04:44,0.07608695652173914
2023-02-18 15:04:45,0.07608695652173914
2023-02-18 15:04:46,0.08152173913043478
2023-02-18 15:04:47,0.08152173913043478
2023-02-18 15:04:48,0.08695652173913043
2023-02-18 15:04:49,0.09239130434782608
2023-02-18 15:04:50,0.09782608695652174
2023-02-18 15:04:51,0.10326086956521739
2023-02-18 15:04:52,0.10326086956521739
2023-02-18 15:04:53,0.10326086956521739
2023-02-18 15:04:54,0.10326086956521739
2023-02-18 15:04:55,0.10326086956521739
2023-02-18 15:04:56,0.09782608695652174
2023-02-18 15:04:57,0.09239130434782608
2023-02-18 15:04:58,0.09239130434782608
2023-02-18 15:04:59,0.09239130434782608
2023-02-18 15:05:00,0.08695652173913043
2023-02-18 15:05:01,0.08152173913043478
2023-02-18 15:05:02,0.08152173913043478
2023-02-18 15:05:03,0.08152173913043478
2023-02-18 15:05:04,0.07608695652173914
2023-02-18 15:05:05,0.07065217391304347
2023-02-18 15:05:06,0.07065217391304347
2023-02-18 15:05:07,0.059782608695652176
2023-02-18 15:05:08,0.04891304347826087
2023-02-18 15:05:09,0.04891304347826087
2023-02-18 15:05:10,0.04891304347826087
2023-02-18 15:05:11,0.05434782608695652
2023-02-18 15:05:12,0.05434782608695652
2023-02-18 15:05:13,0.05434782608695652
2023-02-18 15:05:14,0.05434782608695652
2023-02-18 15:05:15,0.05434782608695652
2023-02-18 15:05:16,0.05434782608695652
2023-02-18 15:05:17,0.059782608695652176
2023-02-18 15:05:18,0.07608695652173914
2023-02-18 15:05:19,0.07608695652173914
2023-02-18 15:05:20,0.08695652173913043
2023-02-18 15:05:21,0.08695652173913043
2023-02-18 15:05:22,0.09782608695652174
2023-02-18 15:05:23,0.09782608695652174
2023-02-18 15:05:24,0.10326086956521739
2023-02-18 15:05:25,0.10869565217391304
2023-02-18 15:05:26,0.11956521739130435
2023-02-18 15:05:27,0.11956521739130435
2023-02-18 15:05:28,0.125
2023-02-18 15:05:29,0.125
2023-02-18 15:05:30,0.11956521739130435
2023-02-18 15:05:31,0.11413043478260869
2023-02-18 15:05:32,0.11413043478260869
2023-02-18 15:05:33,0.10326086956521739
2023-02-18 15:05:34,0.10326086956521739
2023-02-18 15:05:35,0.09782608695652174
2023-02-18 15:05:36,0.09782608695652174
2023-02-18 15:05:37,0.09239130434782608
2023-02-18 15:05:38,0.08695652173913043
2023-02-18 15:05:39,0.08152173913043478
2023-02-18 15:05:40,0.08152173913043478
2023-02-18 15:05:41,0.07608695652173914
2023-02-18 15:05:42,0.07065217391304347
2023-02-18 15:05:43,0.07065217391304347
2023-02-18 15:05:44,0.059782608695652176
2023-02-18 15:05:45,0.059782608695652176
2023-02-18 15:05:46,0.059782608695652176
2023-02-18 15:05:47,0.05434782608695652
2023-02-18 15:05:48,0.05434782608695652
2023-02-18 15:05:49,0.04891304347826087
2023-02-18 15:05:50,0.04891304347826087
2023-02-18 15:05:51,0.04891304347826087
2023-02-18 15:05:52,0.05434782608695652
2023-02-18 15:05:53,0.05434782608695652
2023-02-18 15:05:54,0.05434782608695652
2023-02-18 15:05:55,0.05434782608695652
2023-02-18 15:05:56,0.059782608695652176
2023-02-18 15:05:57,0.059782608695652176
2023-02-18 15:05:58,0.059782608695652176
2023-02-18 15:05:59,0.06521739130434782
2023-02-18 15:06:00,0.07065217391304347
2023-02-18 15:06:01,0.08152173913043478
2023-02-18 15:06:02,0.08152173913043478
2023-02-18 15:06:03,0.08695652173913043
2023-02-18 15:06:04,0.09239130434782608
2023-02-18 15:06:05,0.09239130434782608
2023-02-18 15:06:06,0.09239130434782608
2023-02-18 15:06:07,0.09239130434782608
2023-02-18 15:06:08,0.09782608695652174
2023-02-18 15:06:09,0.09782608695652174
2023-02-18 15:06:10,0.09782608695652174
2023-02-18 15:06:11,0.09782608695652174
2023-02-18 15:06:12,0.09782608695652174
2023-02-18 15:06:13,0.09782608695652174
2023-02-18 15:06:14,0.09239130434782608
2023-02-18 15:06:15,0.09239130434782608
2023-02-18 15:06:16,0.09239130434782608
2023-02-18 15:06:17,0.08695652173913043
2023-02-18 15:06:18,0.08695652173913043
2023-02-18 15:06:19,0.08695652173913043
2023-02-18 15:06:20,0.08695652173913043
2023-02-18 15:06:21,0.08695652173913043
2023-02-18 15:06:22,0.08695652173913043
2023-02-18 15:06:23,0.08695652173913043
2023-02-18 15:06:24,0.08695652173913043
2023-02-18 15:06:25,0.08695652173913043
2023-02-18 15:06:26,0.08695652173913043
2023-02-18 15:06:27,0.08695652173913043
2023-02-18 15:06:28,0.08695652173913043
2023-02-18 15:06:29,0.08695652173913043
2023-02-18 15:06:30,0.09239130434782608
2023-02-18 15:06:31,0.08695652173913043
